start_survey,Latitude,Longitude,Altitude,Accuracy,Surveyor_ID,Surveyor_ID_other,Start_sampling,Found_pellets,End_sampling,Time_to_scat,Barcode,Suspected_organism,Season/survey,Cq(IS2404),QPCR result
,-38.33976652,144.7317353,,,,,,1,,NA,SORR183,1,Summer,33.51,IS2404_POS
,-38.33989023,144.733064,,,,,,1,,NA,SORR184,1,Summer,NEG,IS2404_NEG
,-38.34582296,144.7341873,,,,,,1,,NA,SORR185,1,Summer,NEG,IS2404_NEG
,-38.34484889,144.7355756,,,,,,1,,NA,SORR186,1,Summer,NEG,IS2404_NEG
,-38.34367956,144.7369253,,,,,,1,,NA,SORR187,1,Summer,NEG,IS2404_NEG
,-38.34317288,144.7384024,,,,,,1,,NA,SORR188,1,Summer,31.65,IS2404_POS
,-38.34407927,144.7385436,,,,,,2,,NA,SORR189,,Summer,No_pellet_found,No_pellet_found
,-38.34493254,144.738574,,,,,,1,,NA,SORR190,1,Summer,NEG,IS2404_NEG
,-38.34583172,144.7374428,,,,,,1,,NA,SORR191,1,Summer,NEG,IS2404_NEG
,-38.34684251,144.7359287,,,,,,1,,NA,SORR192,1,Summer,28.84,IS2404_POS
,-38.34780824,144.7365706,,,,,,1,,NA,SORR193,1,Summer,NEG,IS2404_NEG
,-38.34683268,144.7379601,,,,,,1,,NA,SORR194,1,Summer,NEG,IS2404_NEG
,-38.34583952,144.7389999,,,,,,1,,NA,SORR195,1,Summer,NEG,IS2404_NEG
,-38.34809243,144.7385006,,,,,,1,,NA,SORR196,1,Summer,32.82,IS2404_POS
,-38.34867962,144.737918,,,,,,1,,NA,SORR197,1,Summer,NEG,IS2404_NEG
,-38.35085248,144.7405011,,,,,,1,,NA,SORR198,1,Summer,NEG,IS2404_NEG
,-38.35000826,144.7415727,,,,,,1,,NA,SORR199,1,Summer,31.19,IS2404_POS
,-38.34872402,144.7432103,,,,,,1,,NA,SORR200,1,Summer,31.84,IS2404_POS
,-38.35357121,144.7436402,,,,,,1,,NA,SORR201,1,Summer,NEG,IS2404_NEG
,-38.35227738,144.7426144,,,,,,1,,NA,SORR202,1,Summer,NEG,IS2404_NEG
,-38.35119584,144.7440463,,,,,,1,,NA,SORR203,1,Summer,NEG,IS2404_NEG
,-38.35014644,144.7453393,,,,,,1,,NA,SORR204,1,Summer,31.63,IS2404_POS
Tue Dec 18 23:46:25 UTC 2018,-38.3474614,144.7426256,13.8018625,4,2,,23:47:00,1,23:47:00,0:00:00,RES18-00091,1,Summer,NEG,IS2404_NEG
Tue Dec 18 23:50:24 UTC 2018,-38.34577776,144.7443679,9.933507981,4,2,,23:50:00,1,23:50:00,0:00:00,RES18-00095,1,Summer,NEG,IS2404_NEG
Tue Dec 18 23:54:49 UTC 2018,-38.34433943,144.7466597,19.49549963,6,2,,23:55:00,1,23:55:00,0:00:00,RES18-00127,1,Summer,NEG,IS2404_NEG
Tue Dec 18 23:58:42 UTC 2018,-38.34283765,144.7483814,11.47617921,3,2,,23:58:00,1,0:00:00,0:02:00,RES18-00096,1,Summer,NEG,IS2404_NEG
Wed Dec 19 00:03:33 UTC 2018,-38.34497745,144.7490268,14.22022547,4,2,,0:02:00,1,0:04:00,0:02:00,RES18-00097,1,Summer,NEG,IS2404_NEG
Wed Dec 19 00:08:20 UTC 2018,-38.34376429,144.7503746,9.155725185,4,2,,0:08:00,1,0:09:00,0:01:00,RES18-00098,1,Summer,28.20,IS2404_POS
Wed Dec 19 00:12:19 UTC 2018,-38.34646441,144.7471264,3.720470171,4,2,,0:12:00,1,0:12:00,0:00:00,RES18-00094,1,Summer,NEG,IS2404_NEG
Wed Dec 19 00:18:01 UTC 2018,-38.34789277,144.7482879,9.83975941,4,2,,0:18:00,1,0:18:00,0:00:00,RES18-00092,1,Summer,NEG,IS2404_NEG
